dataset,original_name,mapping_name
DKASC_AliceSprings,6.494097034136466_79-Site_DKA-M6_A-Phase.csv,24_6.494097034136466_79-Site_DKA-M6_A-Phase.csv
DKASC_AliceSprings,5.291588862737025_73-Site_DKA-M19_A-Phase.csv,25_5.291588862737025_73-Site_DKA-M19_A-Phase.csv     
DKASC_AliceSprings,6.640705426534017_69-Site_DKA-M4_B-Phase.csv,26_6.640705426534017_69-Site_DKA-M4_B-Phase.csv
DKASC_AliceSprings,5.377141674359625_71-Site_DKA-M2_C-Phase.csv,27_5.377141674359625_71-Site_DKA-M2_C-Phase.csv      
DKASC_AliceSprings,7.788438717524208_68-Site_DKA-M8_C-Phase.csv,28_7.788438717524208_68-Site_DKA-M8_C-Phase.csv
DKASC_AliceSprings,5.381122271219891_218-Site_DKA-M4_C-Phase_II.csv,29_5.381122271219891_218-Site_DKA-M4_C-Phase_II.csv  
DKASC_AliceSprings,8.239588975906374_67-Site_DKA-M8_A-Phase.csv,30_8.239588975906374_67-Site_DKA-M8_A-Phase.csv
DKASC_AliceSprings,5.392713745435067_72-Site_DKA-M15_B-Phase.csv,31_5.392713745435067_72-Site_DKA-M15_B-Phase.csv     
DKASC_AliceSprings,8.563250303268434_98-Site_DKA-M8_B-Phase.csv,32_8.563250303268434_98-Site_DKA-M8_B-Phase.csv
DKASC_AliceSprings,5.424700140953067_90-Site_DKA-M3_A-Phase.csv,33_5.424700140953067_90-Site_DKA-M3_A-Phase.csv      
DKASC_AliceSprings,9.772030671437577_85-Site_DKA-M7_A-Phase.csv,34_9.772030671437577_85-Site_DKA-M7_A-Phase.csv
DKASC_AliceSprings,5.4838057756424_61-Site_DKA-M15_A-Phase.csv,35_5.4838057756424_61-Site_DKA-M15_A-Phase.csv     
DKASC_AliceSprings,5.489253242810574_57-Site_DKA-M16_A-Phase.csv,36_5.489253242810574_57-Site_DKA-M16_A-Phase.csv
DKASC_Yulara,208.47536849975663_10-Site_SS-PV1-DB-SS-1A.csv,01_208.47536849975663_10-Site_SS-PV1-DB-SS-1A.csv
DKASC_Yulara,21.760133743286087_7-Site_SD-PV2-DB-SD-1A.csv,02_21.760133743286087_7-Site_SD-PV2-DB-SD-1A.csv
DKASC_Yulara,300.15113321940083_11-Site_LD-PV1-DB-LD-1A.csv,03_300.15113321940083_11-Site_LD-PV1-DB-LD-1A.csv
DKASC_Yulara,36.68936411539717_9-Site_SD-PV2-DB-SD-2A.csv,04_36.68936411539717_9-Site_SD-PV2-DB-SD-2A.csv
DKASC_Yulara,44.16863854726167_6-Site_SD-PV2-DB-SD-3A.csv,05_44.16863854726167_6-Site_SD-PV2-DB-SD-3A.csv
DKASC_Yulara,897.5805969238291_5-Site_DG-PV1-DB-DG-M1A.csv,06_897.5805969238291_5-Site_DG-PV1-DB-DG-M1A.csv
DKASC_Yulara,97.79799715677892_8-Site_CA-PV1-DB-CA-1A.csv,07_97.79799715677892_8-Site_CA-PV1-DB-CA-1A.csv
Miryang,101.286_C_99kW.csv.csv,01_101.286_C_99kW.csv
